,0
918165,54
808761,54
897751,54
939322,54
792280,54
979705,54
959126,54
910411,54
787614,54
823044,54
869116,54
951784,54
88519766,54
88595556,54
88500658,54
88500655,54
88496143,54
88500656,54
88529547,54
88500653,54
88529546,54
88537852,54
88535635,54
88503994,54
88527255,54
88571090,54
88612958,54
88625460,54
88634355,54
88500657,54
88500654,54
88535636,54
88539802,54
88500652,54
88519428,54
88535634,54
88496142,54
88577088,54
883953,54
786957,54
937325,54
873292,54
808269,54
773321,54
897439,54
893904,54
777697,54
772003,54
764331,54
919559,54
774623,54
88588371,54
88589848,54
88589996,54
88611418,59
88611419,59
88619757,60
88620433,61
88693107,62
88527641,63
88499319,63
88543955,63
88527642,63
88543954,63
88518998,64
88518999,64
88500747,64
88544728,64
88518997,64
88547371,64
88500745,64
88519000,64
88500746,64
88547370,64
88546137,64
88546138,64
88632688,65
88544828,53
88511400,53
88511402,53
88511403,53
88544827,53
88565396,53
88536182,53
88517881,56
908909,56
88549132,56
88520954,56
88520952,56
88562149,56
88511348,56
88562148,56
88520953,56
88611305,56
88622883,56
88628146,66
88622655,66
88628147,66
88572207,66
88630173,66
88630174,66
88613208,66
88628581,66
88622652,66
88625462,66
88622657,66
88622656,66
88625459,66
88630570,66
88625461,66
88622653,66
88622654,66
88622658,66
88659509,67
88664503,55
88674618,55
88674620,55
88513737,68
88580234,68
88515175,68
88496604,68
88645559,68
892250,69
766171,69
937078,69
850860,69
88614956,69
88521146,70
88506421,68
88536031,68
88654065,68
88645558,68
88645557,68
88525983,71
88567845,72
88505036,73
88527471,73
88614416,73
88614417,74
841358,75
874566,75
858162,75
841990,75
831316,75
895510,75
791743,75
774022,75
88525520,75
88553127,75
88513892,75
88553126,75
88579567,75
88513891,75
88513893,75
88667540,1
88666954,1
88695678,76
858234,72
947296,72
803730,72
892439,72
766385,72
856833,72
975711,72
978286,72
953917,72
941546,72
929802,72
895703,72
88536860,72
88549685,72
88638882,72
88662071,77
88662070,77
88662741,72
88674310,77
876774,78
88580228,78
776914,78
886608,78
